"","SampleName","Methods","Nhat","SE_low","SE_high","CI_lb","CI_ub"
"56","66","ChaoBunge2002",2986,-538.968546454696,6510.9685464547,697,19472
"57","66","ACE-1",827,741.85537340549,912.14462659451,592,765
"58","67","Chao1984",673,602.47177194501,743.52822805499,561,843
"59","67","ChaoBunge2002",-1113,-2154.73610133149,-71.2638986685085,-98,-4866
"60","67","ACE-1",915,789.583624463449,1040.41637553655,582,815
"61","68","Chao1984",530,479.761623486618,580.238376513382,452,653
"62","68","ChaoBunge2002",6130,-19031.3542125057,31291.3542125057,450,171643
"63","68","ACE-1",668,587.907052331048,748.092947668952,464,622
"64","69","Chao1984",450,401.215809567529,498.784190432471,376,572
"65","69","ChaoBunge2002",2528,-2568.55401642593,7624.55401642593,384,31522
"66","69","ACE-1",547,476.020259796059,617.979740203941,379,522
"67","70","Chao1984",600,550.315540049455,649.684459950545,522,720
"68","70","ChaoBunge2002",-2194,-5437.16154463244,1049.16154463244,-61,-17255
"69","70","ACE-1",877,769.270160079682,984.729839920318,576,774
"70","71","Chao1984",527,481.650100227672,572.349899772328,457,638
"71","71","ChaoBunge2002",1168,525.009328993217,1810.99067100678,517,3420
"72","71","ACE-1",618,552.191390518271,683.808609481729,462,606
"73","72","Chao1984",452,417.328898514435,486.671101485565,398,537
"74","72","ChaoBunge2002",3390,-4273.82746187525,11053.8274618753,445,48336
"75","72","ACE-1",641,562.706918080359,719.293081919641,445,601
"76","73","Chao1984",622,557.516356996409,686.483643003591,521,779
"77","73","ChaoBunge2002",-2488,-6801.88916565007,1825.88916565007,-35,-24105
"78","73","ACE-1",801,702.012126299547,899.987873700453,526,709
"79","74","Chao1984",452,416.8094239066,487.1905760934,398,539
"80","74","ChaoBunge2002",1457,243.90300810857,2670.09699189143,477,6432
"81","74","ACE-1",593,526.562097517566,659.437902482434,429,566
"82","75","Chao1984",274,244.39992299992,303.60007700008,230,350
"83","75","ChaoBunge2002",18264,-491316.966976409,527844.966976409,260,2865769
"84","75","ACE-1",397,331.635674120234,462.364325879766,257,387
"85","76","Chao1984",499,445.933951797544,552.066048202456,418,631
"86","76","ChaoBunge2002",-1403,-3486.67626790019,680.676267900194,-14,-11007
"87","76","ACE-1",686,588.502207766276,783.497792233724,442,622
"88","77","Chao1984",391,340.257450245709,441.742549754291,315,519
"89","77","ChaoBunge2002",-497,-924.209824846034,-69.7901751539659,-39,-1928
"90","77","ACE-1",615,499.77950234951,730.22049765049,354,562
"91","78","Chao1984",612,499.13059676516,724.86940323484,445,901
"92","78","ChaoBunge2002",-109,-163.046780649736,-54.9532193502637,-21,-236
"93","78","ACE-1",1024,796.448260933734,1251.55173906627,460,783
"94","79","Chao1984",470,420.704613235618,519.295386764382,395,593
"95","79","ChaoBunge2002",5917,-21655.6770305918,33489.6770305918,395,189582
"96","79","ACE-1",590,515.108411648928,664.891588351072,403,548
"97","97","Chao1984",1457,1371.8408917635,1542.1591082365,1312,1648
"98","97","ChaoBunge2002",-18054,-71049.9879133962,34941.9879133962,-337,-341616
"99","97","ACE-1",1948,1796.14195201359,2099.85804798641,1379,1671
"100","98","Chao1984",1255,1177.93677272562,1332.06322727438,1125,1430
"101","98","ChaoBunge2002",-26076,-162213.025863869,110061.025863869,-168,-936579
"102","98","ACE-1",1669,1531.23477946637,1806.76522053363,1185,1451
"103","99","Chao1984",1325,1235.26561815474,1414.73438184526,1174,1529
"104","99","ChaoBunge2002",-1532,-2299.59196173526,-764.408038264742,-479,-3633
"105","99","ACE-1",1999,1806.50183323566,2191.49816676434,1283,1616
"106","100","Chao1984",1573,1474.47415130003,1671.52584869997,1405,1794
"107","100","ChaoBunge2002",-5055,-9785.03267145067,-324.967328549328,-710,-22832
"108","100","ACE-1",2106,1934.71883455704,2277.28116544296,1452,1771
"109","101","Chao1984",1412,1332.47158437889,1491.52841562111,1277,1591
"110","101","ChaoBunge2002",12378,-9723.17029616297,34479.170296163,1724,131695
"111","101","ACE-1",1804,1673.50744795149,1934.49255204851,1320,1578
"112","102","Chao1984",1535,1446.10384509007,1623.89615490993,1383,1734
"113","102","ChaoBunge2002",-28364,-146161.416212527,89433.4162125271,-326,-797857
"114","102","ACE-1",2029,1875.51700964573,2182.48299035427,1439,1733
"115","103","Chao1984",1113,1043.28994575858,1182.71005424142,996,1272
"116","103","ChaoBunge2002",4358,931.48915244074,7784.51084755926,1388,17768
"117","103","ACE-1",1368,1261.97090626427,1474.02909373573,1015,1231
"118","104","Chao1984",1396,1308.86203770329,1483.13796229671,1249,1593
"119","104","ChaoBunge2002",-69767,-919220.29767903,779686.29767903,-242,-5604312
"120","104","ACE-1",1788,1647.47781899782,1928.52218100218,1277,1547
"121","105","Chao1984",1235,1148.63395919426,1321.36604080574,1091,1433
"122","105","ChaoBunge2002",-34939,-292851.887606644,222973.887606644,-141,-1775373
"123","105","ACE-1",1552,1421.59413400688,1682.40586599312,1094,1345
"124","106","Chao1984",1185,1116.9143381104,1253.0856618896,1071,1340
"125","106","ChaoBunge2002",6462,-533.750737183042,13457.750737183,1522,37653
"126","106","ACE-1",1534,1416.31298315964,1651.68701684036,1127,1363
"127","107","Chao1984",1045,979.21894062532,1110.78105937468,936,1196
"128","107","ChaoBunge2002",2646,1451.81038529503,3840.18961470497,1281,6453
